CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000005207522AC;14/09/2023;8;0,061;R
ES0021000005207522AC;14/09/2023;9;0,055;R
ES0021000005207522AC;14/09/2023;10;0,334;R
ES0021000005207522AC;14/09/2023;11;0,265;R
ES0021000005207522AC;14/09/2023;12;0,143;R
ES0021000005207522AC;14/09/2023;13;0,160;R
ES0021000005207522AC;14/09/2023;14;0,341;R
ES0021000005207522AC;14/09/2023;15;0,199;R
ES0021000005207522AC;14/09/2023;16;0,138;R
ES0021000005207522AC;14/09/2023;17;0,142;R
ES0021000005207522AC;14/09/2023;18;0,145;R
ES0021000005207522AC;14/09/2023;19;0,312;R
ES0021000005207522AC;14/09/2023;20;0,395;R
ES0021000005207522AC;14/09/2023;21;0,323;R
ES0021000005207522AC;14/09/2023;22;0,206;R
ES0021000005207522AC;14/09/2023;23;0,150;R
ES0021000005207522AC;14/09/2023;24;0,185;R
ES0021000005207522AC;15/09/2023;1;0,062;R
ES0021000005207522AC;15/09/2023;2;0,083;R
ES0021000005207522AC;15/09/2023;3;0,081;R
ES0021000005207522AC;15/09/2023;4;0,053;R
ES0021000005207522AC;15/09/2023;5;0,106;R
ES0021000005207522AC;15/09/2023;6;0,044;R
ES0021000005207522AC;15/09/2023;7;0,080;R
ES0021000005207522AC;15/09/2023;8;0,063;R
ES0021000005207522AC;15/09/2023;9;0,055;R
ES0021000005207522AC;15/09/2023;10;0,304;R
ES0021000005207522AC;15/09/2023;11;0,166;R
ES0021000005207522AC;15/09/2023;12;0,154;R
ES0021000005207522AC;15/09/2023;13;0,202;R
ES0021000005207522AC;15/09/2023;14;0,385;R
ES0021000005207522AC;15/09/2023;15;0,317;R
ES0021000005207522AC;15/09/2023;16;0,409;R
ES0021000005207522AC;15/09/2023;17;0,062;R
ES0021000005207522AC;15/09/2023;18;0,078;R
ES0021000005207522AC;15/09/2023;19;0,072;R
ES0021000005207522AC;15/09/2023;20;0,066;R
ES0021000005207522AC;15/09/2023;21;0,123;R
ES0021000005207522AC;15/09/2023;22;0,183;R
ES0021000005207522AC;15/09/2023;23;0,182;R
ES0021000005207522AC;15/09/2023;24;0,177;R
ES0021000005207522AC;16/09/2023;1;0,102;R
ES0021000005207522AC;16/09/2023;2;0,063;R
ES0021000005207522AC;16/09/2023;3;0,106;R
ES0021000005207522AC;16/09/2023;4;0,045;R
ES0021000005207522AC;16/09/2023;5;0,103;R
ES0021000005207522AC;16/09/2023;6;0,060;R
ES0021000005207522AC;16/09/2023;7;0,073;R
ES0021000005207522AC;16/09/2023;8;0,086;R
ES0021000005207522AC;16/09/2023;9;0,045;R
ES0021000005207522AC;16/09/2023;10;0,102;R
ES0021000005207522AC;16/09/2023;11;0,062;R
ES0021000005207522AC;16/09/2023;12;0,071;R
ES0021000005207522AC;16/09/2023;13;0,094;R
ES0021000005207522AC;16/09/2023;14;0,042;R
ES0021000005207522AC;16/09/2023;15;0,086;R
ES0021000005207522AC;16/09/2023;16;0,129;R
ES0021000005207522AC;16/09/2023;17;0,156;R
ES0021000005207522AC;16/09/2023;18;0,195;R
ES0021000005207522AC;16/09/2023;19;0,063;R
ES0021000005207522AC;16/09/2023;20;0,124;R
ES0021000005207522AC;16/09/2023;21;0,160;R
ES0021000005207522AC;16/09/2023;22;0,252;R
ES0021000005207522AC;16/09/2023;23;0,207;R
ES0021000005207522AC;16/09/2023;24;0,143;R
ES0021000005207522AC;17/09/2023;1;0,065;R
ES0021000005207522AC;17/09/2023;2;0,091;R
ES0021000005207522AC;17/09/2023;3;0,037;R
ES0021000005207522AC;17/09/2023;4;0,099;R
ES0021000005207522AC;17/09/2023;5;0,055;R
ES0021000005207522AC;17/09/2023;6;0,073;R
ES0021000005207522AC;17/09/2023;7;0,079;R
ES0021000005207522AC;17/09/2023;8;0,048;R
ES0021000005207522AC;17/09/2023;9;0,100;R
ES0021000005207522AC;17/09/2023;10;0,043;R
ES0021000005207522AC;17/09/2023;11;0,140;R
ES0021000005207522AC;17/09/2023;12;0,344;R
ES0021000005207522AC;17/09/2023;13;0,260;R
ES0021000005207522AC;17/09/2023;14;0,578;R
ES0021000005207522AC;17/09/2023;15;0,195;R
ES0021000005207522AC;17/09/2023;16;0,160;R
ES0021000005207522AC;17/09/2023;17;0,817;R
ES0021000005207522AC;17/09/2023;18;0,074;R
ES0021000005207522AC;17/09/2023;19;0,057;R
ES0021000005207522AC;17/09/2023;20;0,092;R
ES0021000005207522AC;17/09/2023;21;0,192;R
ES0021000005207522AC;17/09/2023;22;0,121;R
ES0021000005207522AC;17/09/2023;23;0,155;R
ES0021000005207522AC;17/09/2023;24;0,058;R
ES0021000005207522AC;18/09/2023;1;0,070;R
ES0021000005207522AC;18/09/2023;2;0,096;R
ES0021000005207522AC;18/09/2023;3;0,055;R
ES0021000005207522AC;18/09/2023;4;0,066;R
ES0021000005207522AC;18/09/2023;5;0,093;R
ES0021000005207522AC;18/09/2023;6;0,052;R
ES0021000005207522AC;18/09/2023;7;0,069;R
ES0021000005207522AC;18/09/2023;8;0,087;R
ES0021000005207522AC;18/09/2023;9;0,068;R
ES0021000005207522AC;18/09/2023;10;0,173;R
ES0021000005207522AC;18/09/2023;11;0,172;R
ES0021000005207522AC;18/09/2023;12;0,516;R
ES0021000005207522AC;18/09/2023;13;0,156;R
ES0021000005207522AC;18/09/2023;14;0,195;R
ES0021000005207522AC;18/09/2023;15;0,117;R
ES0021000005207522AC;18/09/2023;16;0,152;R
ES0021000005207522AC;18/09/2023;17;0,136;R
ES0021000005207522AC;18/09/2023;18;0,092;R
ES0021000005207522AC;18/09/2023;19;0,116;R
ES0021000005207522AC;18/09/2023;20;0,072;R
ES0021000005207522AC;18/09/2023;21;0,311;R
ES0021000005207522AC;18/09/2023;22;0,185;R
ES0021000005207522AC;18/09/2023;23;0,145;R
ES0021000005207522AC;18/09/2023;24;0,042;R
ES0021000005207522AC;19/09/2023;1;0,090;R
ES0021000005207522AC;19/09/2023;2;0,064;R
ES0021000005207522AC;19/09/2023;3;0,056;R
ES0021000005207522AC;19/09/2023;4;0,090;R
ES0021000005207522AC;19/09/2023;5;0,042;R
ES0021000005207522AC;19/09/2023;6;0,075;R
ES0021000005207522AC;19/09/2023;7;0,075;R
ES0021000005207522AC;19/09/2023;8;0,044;R
ES0021000005207522AC;19/09/2023;9;0,141;R
ES0021000005207522AC;19/09/2023;10;0,369;R
ES0021000005207522AC;19/09/2023;11;0,139;R
ES0021000005207522AC;19/09/2023;12;0,166;R
ES0021000005207522AC;19/09/2023;13;0,112;R
ES0021000005207522AC;19/09/2023;14;0,465;R
ES0021000005207522AC;19/09/2023;15;0,461;R
ES0021000005207522AC;19/09/2023;16;0,144;R
ES0021000005207522AC;19/09/2023;17;0,158;R
ES0021000005207522AC;19/09/2023;18;0,124;R
ES0021000005207522AC;19/09/2023;19;0,085;R
ES0021000005207522AC;19/09/2023;20;0,215;R
ES0021000005207522AC;19/09/2023;21;0,418;R
ES0021000005207522AC;19/09/2023;22;0,280;R
ES0021000005207522AC;19/09/2023;23;0,143;R
ES0021000005207522AC;19/09/2023;24;0,183;R
ES0021000005207522AC;20/09/2023;1;0,067;R
ES0021000005207522AC;20/09/2023;2;0,105;R
ES0021000005207522AC;20/09/2023;3;0,047;R
ES0021000005207522AC;20/09/2023;4;0,076;R
ES0021000005207522AC;20/09/2023;5;0,075;R
ES0021000005207522AC;20/09/2023;6;0,047;R
ES0021000005207522AC;20/09/2023;7;0,091;R
ES0021000005207522AC;20/09/2023;8;0,043;R
ES0021000005207522AC;20/09/2023;9;0,136;R
ES0021000005207522AC;20/09/2023;10;0,097;R
ES0021000005207522AC;20/09/2023;11;0,122;R
ES0021000005207522AC;20/09/2023;12;0,199;R
ES0021000005207522AC;20/09/2023;13;0,116;R
ES0021000005207522AC;20/09/2023;14;0,162;R
ES0021000005207522AC;20/09/2023;15;0,201;R
ES0021000005207522AC;20/09/2023;16;0,119;R
ES0021000005207522AC;20/09/2023;17;0,145;R
ES0021000005207522AC;20/09/2023;18;0,076;R
ES0021000005207522AC;20/09/2023;19;0,093;R
ES0021000005207522AC;20/09/2023;20;0,290;R
ES0021000005207522AC;20/09/2023;21;0,197;R
ES0021000005207522AC;20/09/2023;22;0,207;R
ES0021000005207522AC;20/09/2023;23;0,139;R
ES0021000005207522AC;20/09/2023;24;0,119;R
ES0021000005207522AC;21/09/2023;1;0,062;R
ES0021000005207522AC;21/09/2023;2;0,059;R
ES0021000005207522AC;21/09/2023;3;0,089;R
ES0021000005207522AC;21/09/2023;4;0,035;R
ES0021000005207522AC;21/09/2023;5;0,082;R
ES0021000005207522AC;21/09/2023;6;0,066;R
ES0021000005207522AC;21/09/2023;7;0,050;R
ES0021000005207522AC;21/09/2023;8;0,090;R
ES0021000005207522AC;21/09/2023;9;0,265;R
ES0021000005207522AC;21/09/2023;10;0,382;R
ES0021000005207522AC;21/09/2023;11;0,104;R
ES0021000005207522AC;21/09/2023;12;0,078;R
ES0021000005207522AC;21/09/2023;13;0,117;R
ES0021000005207522AC;21/09/2023;14;0,090;R
ES0021000005207522AC;21/09/2023;15;0,373;R
ES0021000005207522AC;21/09/2023;16;0,170;R
ES0021000005207522AC;21/09/2023;17;0,144;R
ES0021000005207522AC;21/09/2023;18;0,128;R
ES0021000005207522AC;21/09/2023;19;0,200;R
ES0021000005207522AC;21/09/2023;20;0,356;R
ES0021000005207522AC;21/09/2023;21;0,331;R
ES0021000005207522AC;21/09/2023;22;0,153;R
ES0021000005207522AC;21/09/2023;23;0,100;R
ES0021000005207522AC;21/09/2023;24;0,093;R
ES0021000005207522AC;22/09/2023;1;0,056;R
ES0021000005207522AC;22/09/2023;2;0,054;R
ES0021000005207522AC;22/09/2023;3;0,084;R
ES0021000005207522AC;22/09/2023;4;0,039;R
ES0021000005207522AC;22/09/2023;5;0,070;R
ES0021000005207522AC;22/09/2023;6;0,076;R
ES0021000005207522AC;22/09/2023;7;0,035;R
ES0021000005207522AC;22/09/2023;8;0,082;R
ES0021000005207522AC;22/09/2023;9;0,254;R
ES0021000005207522AC;22/09/2023;10;0,165;R
ES0021000005207522AC;22/09/2023;11;0,172;R
ES0021000005207522AC;22/09/2023;12;0,137;R
ES0021000005207522AC;22/09/2023;13;0,190;R
ES0021000005207522AC;22/09/2023;14;0,148;R
ES0021000005207522AC;22/09/2023;15;0,456;R
ES0021000005207522AC;22/09/2023;16;0,184;R
ES0021000005207522AC;22/09/2023;17;0,130;R
ES0021000005207522AC;22/09/2023;18;0,210;R
ES0021000005207522AC;22/09/2023;19;0,158;R
ES0021000005207522AC;22/09/2023;20;0,280;R
ES0021000005207522AC;22/09/2023;21;0,344;R
ES0021000005207522AC;22/09/2023;22;0,715;R
ES0021000005207522AC;22/09/2023;23;0,147;R
ES0021000005207522AC;22/09/2023;24;0,184;R
